candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Distance_to_Physical_Pareto
6460,37.24968247795725,142.780183331389,155.05214480085857,30.71754119679781,142.88903352615787,0.3,1.5452124,28.11132,1.5894561396647284,28.58108849080229,1.5601246928648045,28.256553107308918,False,False,False,0.11800169781415902
6461,42.38843045933042,139.37037844428588,157.56597231696855,32.427400846006464,152.05897698035113,0.3,1.5560867,28.968126,1.5953633842569777,29.348466312711427,1.5667282268176108,28.96980187574184,False,False,False,0.20780002132319084
6462,42.15124023457018,138.653881751209,152.38843923399426,25.49371470584188,135.17835598938393,0.3,1.5078441,27.24357,1.5138970103903708,27.406240696686627,1.5069731035657523,27.36233212342528,False,False,False,0.11863346048269345
6463,37.666057070491775,141.00928113393564,160.2342003203008,32.324551835883256,142.56388051120825,0.3,1.493902,27.486994,1.5208315169066844,27.82783975966536,1.5029312349973534,27.6482411969754,False,False,False,0.1800935721967046
6464,40.55970991040175,138.4708508529114,158.94763942101574,29.52583009541552,151.81098538315553,0.3,1.5509571,28.713268,1.5911638854808716,29.124089705146197,1.5613837574247968,28.7229971659654,False,False,False,0.18991409124141184
6465,43.55311667874402,139.29857823757374,158.82659018620586,35.42207508161667,148.72834527885226,0.3,1.5270419,28.581192,1.545331999664146,28.781593360664772,1.5229798464892317,28.49794189251319,False,False,False,0.2535102164559613
6466,37.49522646972439,140.6878301450746,158.80779799176187,23.66154675107594,146.31570137877904,0.3,1.5536852,28.138643,1.583749155944453,28.307601047897467,1.5602890137905618,28.044061073704835,False,False,False,0.09428858463146565
6467,42.35979784014676,141.21905715880888,154.1739458218591,19.65114835133522,137.4140228661299,0.3,1.5436594,27.422108,1.5474512026581202,27.39929782900791,1.5368976171859838,27.34332321253424,False,False,False,0.04855614938456996
6468,44.53966717146887,139.12152413034997,152.44158972040103,24.517928670548542,152.10940329229948,0.3,1.6049399,29.340008,1.647639358522329,29.713006868305275,1.6190977676422194,29.34532895337195,False,False,False,0.12905149364401314
6469,43.66241919757565,142.81368981020563,157.27844965608097,32.94150177704893,138.23199362080538,0.3,1.4951313,27.25078,1.4993247757681147,27.408802679236803,1.484751080311072,27.30991168922829,False,False,False,0.15447291913368255
6470,39.01520082680276,139.05661548511935,157.40149131546093,28.28259245099651,154.3576761854618,0.3,1.6034316,29.169666,1.6380679099965,29.69996101127038,1.6035955963033963,29.23380054559476,False,False,False,0.15090830752236525
6471,41.07207732988138,138.91827898570054,160.53160856066378,28.6751940189254,152.804061548907,0.3,1.5540674,28.704903,1.588172765208335,28.98648706987002,1.5582435216337185,28.59959136571971,False,False,False,0.1730950183328615
6472,44.91770134252704,138.96159992262957,158.7839690350588,21.005917298359776,139.40448913215474,0.3,1.4888467,27.095373,1.5015708214484973,27.036926606579176,1.4903515495436632,27.003612912265325,False,False,False,0.09085092800816734
