Parameter,Parameter_Value,Delta_BF_percent
L4_mm,160.5,27.717360905692544
L4_mm,160.6,27.706274495281676
L4_mm,160.7,27.695212480665504
L4_mm,160.8,27.68417478813333
L4_mm,160.9,27.673161344260468
L4_mm,161.0,27.662172075906987
L4_mm,161.1,27.651206910216303
L4_mm,161.2,27.640265774613752
L4_mm,161.3,27.629348596805393
L4_mm,161.4,27.618455304776518
L4_mm,161.5,27.607585826790647
L4_mm,161.6,27.596740091387712
L4_mm,161.7,27.585918027383098
L4_mm,161.8,27.57511956386636
L4_mm,161.9,27.56434463019965
L4_mm,162.0,27.553593156016742
theta1_deg,18.0,27.96247592302974
theta1_deg,18.2,27.96410107648766
theta1_deg,18.4,27.96577996537874
theta1_deg,18.6,27.96751322881102
theta1_deg,18.8,27.969301502170573
theta1_deg,19.0,27.971145417175414
theta1_deg,19.2,27.973045601930057
theta1_deg,19.4,27.975002680980303
theta1_deg,19.6,27.97701727536868
theta1_deg,19.8,27.979090002690082
theta1_deg,20.0,27.981221477147994
theta1_deg,20.2,27.983412309611115
theta1_deg,20.4,27.985663107670167
theta1_deg,20.6,27.987974475695303
theta1_deg,20.8,27.990347014893768
theta1_deg,21.0,27.992781323367822
theta1_deg,21.2,27.99527799617316
theta1_deg,21.4,27.997837625377585
theta1_deg,21.6,28.000460800119836
theta1_deg,21.8,28.00314810666893
theta1_deg,22.0,28.005900128483763
theta1_deg,22.2,28.00871744627268
theta1_deg,22.4,28.011600638053807
theta1_deg,22.6,28.01455027921517
theta1_deg,22.8,28.017566942575428
theta1_deg,23.0,28.020651198444423
theta1_deg,23.2,28.023803614684383
theta1_deg,23.4,28.027024756771073
theta1_deg,23.6,28.030315187855198
theta1_deg,23.8,28.033675468824043
theta1_deg,24.0,28.03710615836327
theta1_deg,24.2,28.04060781301889
theta1_deg,24.4,28.044180987259516
theta1_deg,24.6,28.04782623353847
theta1_deg,24.8,28.05154410235647
theta1_deg,25.0,28.05533514232415
theta1_deg,25.2,28.05919990022488
theta1_deg,25.4,28.063138921077623
theta1_deg,25.6,28.067152748199998
theta1_deg,25.8,28.071241923271568
theta1_deg,26.0,28.07540698639685
theta1_deg,26.200000000000003,28.07964847616904
theta1_deg,26.4,28.08396692973333
theta1_deg,26.6,28.088362882850586
theta1_deg,26.8,28.092836869961108
theta1_deg,27.0,28.097389424248465
theta1_deg,27.200000000000003,28.1020210777033
theta1_deg,27.4,28.106732361187543
theta1_deg,27.6,28.11152380449834
theta1_deg,27.8,28.116395936432365
theta1_deg,28.0,28.121349284850027
theta1_deg,28.200000000000003,28.1263843767398
theta1_deg,28.4,28.131501738282775
theta1_deg,28.6,28.136701894917053
theta1_deg,28.8,28.14198537140235
theta1_deg,29.0,28.14735269188473
theta1_deg,29.200000000000003,28.152804379961218
theta1_deg,29.4,28.158340958744706
theta1_deg,29.6,28.163962950928717
theta1_deg,29.8,28.169670878852486
theta1_deg,30.0,28.17546526456585
theta1_deg,30.200000000000003,28.1813466298943
theta1_deg,30.4,28.187315496504212
theta1_deg,30.6,28.193372385968107
theta1_deg,30.8,28.19951781982978
theta1_deg,31.0,28.205752319669735
theta1_deg,31.200000000000003,28.212076407170656
theta1_deg,31.4,28.218490604182765
theta1_deg,31.6,28.224995432789555
theta1_deg,31.8,28.23159141537332
theta1_deg,32.0,28.23827907468089
