Parameter,Parameter_Value,BF
theta1_deg,29.0,1.5432628573426332
theta1_deg,29.200000000000003,1.5427656594378523
theta1_deg,29.4,1.5422715722420968
theta1_deg,29.6,1.5417806616831191
theta1_deg,29.8,1.5412929933225787
theta1_deg,30.0,1.5408086323605243
theta1_deg,30.200000000000003,1.5403276436399094
theta1_deg,30.4,1.5398500916511275
theta1_deg,30.6,1.539376040536573
theta1_deg,30.8,1.5389055540952243
theta1_deg,31.0,1.5384386957872498
theta1_deg,31.200000000000003,1.537975528738641
theta1_deg,31.4,1.5375161157458554
theta1_deg,31.6,1.5370605192804971
theta1_deg,31.8,1.5366088014940016
theta1_deg,32.0,1.5361610242223505
theta1_deg,32.2,1.5357172489908038
theta1_deg,32.4,1.5352775370186476
theta1_deg,32.6,1.534841949223964
theta1_deg,32.8,1.5344105462284168
theta1_deg,33.0,1.5339833883620586
theta1_deg,33.2,1.5335605356681468
theta1_deg,33.4,1.5331420479079856
theta1_deg,33.6,1.5327279845657795
theta1_deg,33.8,1.5323184048535001
theta1_deg,34.0,1.5319133677157761
theta1_deg,34.2,1.5315129318347922
theta1_deg,34.400000000000006,1.5311171556352048
theta1_deg,34.6,1.5307260972890717
theta1_deg,34.8,1.5303398147207996
theta1_deg,35.0,1.5299583656120999
theta1_deg,35.2,1.5295818074069631
theta1_deg,35.400000000000006,1.5292101973166454
theta1_deg,35.6,1.5288435923246666
theta1_deg,35.8,1.5284820491918254
theta1_deg,36.0,1.5281256244612242
theta1_deg,36.2,1.5277743744633072
theta1_deg,36.400000000000006,1.5274283553209131
theta1_deg,36.6,1.5270876229543384
theta1_deg,36.8,1.5267522330864143
theta1_deg,37.0,1.5264222412475963
theta1_deg,37.2,1.526097702781063
theta1_deg,37.400000000000006,1.5257786728478324
theta1_deg,37.6,1.5254652064318852
theta1_deg,37.8,1.5251573583453029
theta1_deg,38.0,1.5248551832334194
theta2_deg,135.0,1.4813295554878405
theta2_deg,135.2,1.4824978196726923
theta2_deg,135.4,1.483671738472514
theta2_deg,135.6,1.4848512738754993
theta2_deg,135.8,1.486036387362226
theta2_deg,136.0,1.4872270398989997
theta2_deg,136.2,1.488423191931167
theta2_deg,136.4,1.4896248033763932
theta2_deg,136.6,1.490831833617912
theta2_deg,136.8,1.4920442414977368
theta2_deg,137.0,1.4932619853098457
theta2_deg,137.2,1.4944850227933362
theta2_deg,137.4,1.4957133111255514
